address,name
0x004e1f80,DDImage::DrawLineAA
0x004e6af0,DDImage::GetBits
0x004c7960,DDImage::NormalFillRect
0x004c7dd0,DDImage::AdditiveFillRect
0x004d4260,DDImage::NormalBltMirror
0x004cb7f0,DDImage::AdditiveBlt
0x004d6400,DDImage::AdditiveBltMirror
0x004f6760,DDImage::Blt
0x004ec3b0,DDImage::BltMirror
0x004f69c0,DDImage::BltF
0x004e9fb0,DDImage::BltMatrix
0x004ea0e0,DDImage::BltTrianglesTex
0x004dbda0,DDImage::Palletize
0x004e6d30,DDImage::FillScanLinesWithCoverage
0x004eadb0,DDInterface::DDInterface
0x004e9330,DDInterface
0x004de930,DDInterface::ResultToString
0x004dea30,DDInterface::GotDXError
0x004c1d80,DDInterface::GetScreenImage
0x004c1d90,DDInterface::CreateSurface
0x004c1f70,DDInterface::ClearSurface
0x004e78b0,DDInterface::Do3DTest
0x004eafd0,DDInterface::Init
0x004e9440,DDInterface::SetVideoOnlyDraw
0x004e4c50,DDInterface::AddDDImage
0x004dec70,DDInterface::RemoveDDImage
0x004e7990,DDInterface::Cleanup
0x004ded10,DDInterface::Redraw
0x004d3740,DDInterface::RestoreOldCursorAreaFrom
0x004dda40,DDInterface::DrawCursorTo
0x004dde80,DDInterface::MoveCursorTo
0x004c2000,DDInterface::SetCursorImage
0x004de460,DDInterface::SetCursorPos
0x0054c8f0,DSoundManager::DSoundManager
0x00548f90,Dialog::Dialog
0x00497540,MouseUp
0x005469e0,DialogButton::Draw
0x00506e90,Sexy::GetDirectXErrorString
0x004cc850,Font::Font
0x004cc870,Font::Font
0x004cc8a0,Font
0x004cc8b0,Font::GetAscent
0x004cc8c0,Font::GetAscentPadding
0x004cc8d0,Font::GetDescent
0x00556c50,Font::GetHeight
0x004cc8e0,Font::GetLineSpacingOffset
0x004cc8f0,Font::GetLineSpacing
0x004cc900,Font::StringWidth
0x004de510,Font::CharWidth
0x004cc910,Font::CharWidthKern
0x004cc930,GraphicsState::CopyStateFrom
0x004dd1c0,Graphics::Graphics
0x004dd230,Graphics::Graphics
0x004dd310,Graphics
0x004e8050,Graphics::PushState
0x004dd320,Graphics::PopState
0x004dd380,Graphics::Create
0x004cc9c0,Graphics::GetFont
0x004cc9d0,Graphics::SetFont
0x004cc9e0,Graphics::SetColor
0x004cca20,Graphics::SetDrawMode
0x004cca40,Graphics::SetColorizeImages
0x004cca60,Graphics::SetFastStretch
0x004cca70,Graphics::SetLinearBlend
0x00004d7470,Graphics::FillRect
0x004d74e0,Graphics::FillRect
0x004d7500,Graphics::DrawRect
0x004d7600,Graphics::DrawRect
0x004cca80,Graphics::PFCompareInd
0x004ccab0,Graphics::PFCompareActive
0x004ccad0,Graphics::PFDelete
0x004ccb30,Graphics::PFInsert
0x004d7620,Graphics::DrawLineClipHelper
0x004d7790,Graphics::DrawLine
0x004ccfd0,Graphics::DrawString
0x004dbdc0,Graphics::DrawImage
0x004d7810,Graphics::DrawImage
0x004dbec0,Graphics::DrawImageMirror
0x004dbf00,Graphics::DrawImageMirror
0x004d7b00,Graphics::DrawImage
